timestamp_utc,timestamp_et,session_date_et,ticker,open,high,low,close
2026-08-27T12:20:00Z,2026-08-27T08:20:00-04:00,2026-08-27,^TNX,4.658000,4.658000,4.656000,4.658000
2026-08-27T12:20:00Z,2026-08-27T08:20:00-04:00,2026-08-27,^TYX,5.181000,5.181000,5.180000,5.181000
2026-08-27T12:21:00Z,2026-08-27T08:21:00-04:00,2026-08-27,^TNX,4.660000,4.660000,4.660000,4.660000
2026-08-27T12:21:00Z,2026-08-27T08:21:00-04:00,2026-08-27,^TYX,5.182000,5.184000,5.181000,5.183000
2026-08-27T12:22:00Z,2026-08-27T08:22:00-04:00,2026-08-27,^TNX,4.660000,4.664000,4.660000,4.664000
2026-08-27T12:22:00Z,2026-08-27T08:22:00-04:00,2026-08-27,^TYX,5.183000,5.189000,5.183000,5.189000
2026-08-27T12:23:00Z,2026-08-27T08:23:00-04:00,2026-08-27,^TNX,4.666000,4.666000,4.666000,4.666000
2026-08-27T12:23:00Z,2026-08-27T08:23:00-04:00,2026-08-27,^TYX,5.190000,5.190000,5.189000,5.189000
2026-08-27T12:24:00Z,2026-08-27T08:24:00-04:00,2026-08-27,^TNX,4.664000,4.664000,4.664000,4.664000
2026-08-27T12:24:00Z,2026-08-27T08:24:00-04:00,2026-08-27,^TYX,5.187000,5.188000,5.187000,5.188000
2026-08-27T12:25:00Z,2026-08-27T08:25:00-04:00,2026-08-27,^TNX,4.664000,4.664000,4.662000,4.662000
2026-08-27T12:25:00Z,2026-08-27T08:25:00-04:00,2026-08-27,^TYX,5.187000,5.187000,5.185000,5.185000
2026-08-27T12:26:00Z,2026-08-27T08:26:00-04:00,2026-08-27,^TNX,4.660000,4.662000,4.660000,4.662000
2026-08-27T12:26:00Z,2026-08-27T08:26:00-04:00,2026-08-27,^TYX,5.184000,5.186000,5.184000,5.185000
2026-08-27T12:27:00Z,2026-08-27T08:27:00-04:00,2026-08-27,^TNX,4.662000,4.664000,4.662000,4.664000
2026-08-27T12:27:00Z,2026-08-27T08:27:00-04:00,2026-08-27,^TYX,5.186000,5.187000,5.185000,5.187000
2026-08-27T12:28:00Z,2026-08-27T08:28:00-04:00,2026-08-27,^TNX,4.662000,4.664000,4.662000,4.664000
