Meeting Date,300-325,325-350,350-375,375-400,400-425,425-450,450-475,475-500,500-525
9/16/2026,0.0,0.0,40.3,59.7,0.0,0.0,0.0,0.0,
10/28/2026,0.0,0.0,28.7,54.1,17.2,0.0,0.0,0.0,0.0
12/9/2026,0.0,0.0,10.9,38.3,40.1,10.7,0.0,0.0,0.0
1/27/2027,0.0,0.0,7.6,30.1,39.6,19.5,3.2,0.0,0.0
3/17/2027,0.0,2.0,13.5,32.6,34.4,15.2,2.4,0.0,0.0
4/28/2027,0.0,0.5,4.7,18.1,33.0,29.8,12.2,1.8,0.0
6/9/2027,0.0,0.4,4.3,16.7,31.5,30.1,13.9,2.8,0.2
7/28/2027,0.0,0.5,4.4,16.9,31.5,29.9,13.8,2.8,0.2
9/15/2027,0.0,0.6,4.7,17.2,31.4,29.6,13.6,2.8,0.2
10/27/2027,0.0,0.8,5.4,18.0,31.3,28.6,12.9,2.6,0.2
12/8/2027,0.1,1.3,6.8,19.5,31.0,26.9,11.8,2.3,0.1
